date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:14	1960/1960	---M-Z	200	added ('OK')	application/javascript	etag:W/%2260d317cc-7a8%22	https://static.eldorado.ru/static/js/redesign4/scripts.js?0629130117	C:/My%20Web%20Sites/eldorado_1/static.eldorado.ru/static/js/redesign4/scriptsd8b7.js	(from https://www.eldorado.ru/cat/detail/konditsioner-candy-ac-09hta103-r2/)
10:47:14	95957/95957	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c6140ea-176d5%22	https://static.eldorado.ru/static/js/redesign3/libs/jquery-1.11.3.min.js?0629130117	C:/My%20Web%20Sites/eldorado_1/static.eldorado.ru/static/js/redesign3/libs/jquery-1.11.3.mind8b7.js	(from https://www.eldorado.ru/cat/detail/konditsioner-candy-ac-09hta103-r2/)
10:47:14	24625/24625	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e8c7f2d-6031%22	https://static.eldorado.ru/static/js/redesign3/libs/native-slider-init.js?0629130117	C:/My%20Web%20Sites/eldorado_1/static.eldorado.ru/static/js/redesign3/libs/native-slider-initd8b7.js	(from https://www.eldorado.ru/cat/detail/konditsioner-candy-ac-09hta103-r2/)
10:47:15	779/779	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c6140ea-30b%22	https://static.eldorado.ru/static/js/redesign2.2/site.js?0629130117	C:/My%20Web%20Sites/eldorado_1/static.eldorado.ru/static/js/redesign2.2/sited8b7.js	(from https://www.eldorado.ru/cat/detail/konditsioner-candy-ac-09hta103-r2/)
10:47:15	33/33	---M--	200	added ('OK')	application/javascript	etag:%225c6140ea-21%22	https://static.eldorado.ru/static/js/redesign3/libs/jquery-no-conflict.js?0629130117	C:/My%20Web%20Sites/eldorado_1/static.eldorado.ru/static/js/redesign3/libs/jquery-no-conflictd8b7.js	(from https://www.eldorado.ru/cat/detail/konditsioner-candy-ac-09hta103-r2/)
10:47:15	1722/1722	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d5d1fa1-6ba%22	https://static.eldorado.ru/static/js/redesign3/q-slider-init.js?0629130117	C:/My%20Web%20Sites/eldorado_1/static.eldorado.ru/static/js/redesign3/q-slider-initd8b7.js	(from https://www.eldorado.ru/cat/detail/konditsioner-candy-ac-09hta103-r2/)
10:47:15	93870/93870	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c6140ea-16eae%22	https://static.eldorado.ru/static/js/jquery-1.7.1.min.js?0629130117	C:/My%20Web%20Sites/eldorado_1/static.eldorado.ru/static/js/jquery-1.7.1.mind8b7.js	(from https://www.eldorado.ru/cat/detail/konditsioner-candy-ac-09hta103-r2/)
10:47:15	3912/3912	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c6140ea-f48%22	https://static.eldorado.ru/static/js/redesign3/libs/jquery.lazy.min.js?0629130117	C:/My%20Web%20Sites/eldorado_1/static.eldorado.ru/static/js/redesign3/libs/jquery.lazy.mind8b7.js	(from https://www.eldorado.ru/cat/detail/konditsioner-candy-ac-09hta103-r2/)
10:47:16	7899/7899	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c6140ea-1edb%22	https://static.eldorado.ru/static/js/redesign3/libs/jquery.placeholder.js?0629130117	C:/My%20Web%20Sites/eldorado_1/static.eldorado.ru/static/js/redesign3/libs/jquery.placeholderd8b7.js	(from https://www.eldorado.ru/cat/detail/konditsioner-candy-ac-09hta103-r2/)
10:47:16	25875/25875	---M-Z	200	added ('OK')	application/javascript	etag:W/%2260b88ba7-6513%22	https://static.eldorado.ru/static/js/wish_list/wish_list_core.js?0629130117	C:/My%20Web%20Sites/eldorado_1/static.eldorado.ru/static/js/wish_list/wish_list_cored8b7.js	(from https://www.eldorado.ru/cat/detail/konditsioner-candy-ac-09hta103-r2/)
